1;0;Qatar;A;
2;0;Ecuador;A;
3;0;Senegal;A;
4;0;Países Bajos;A;
5;0;Inglaterra;B;
6;0;Irán;B;
7;0;Estados Unidos;B;
8;0;Gales;B;
9;0;Argentina;C;
10;0;Arabia Saudita;C;
11;0;México;C;
12;0;Polonia;C;
13;0;Francia;D;
14;0;Australia;D;
15;0;Dinamarca;D;
16;0;Túnez;D;
17;0;España;E;
18;0;Costa Rica;E;
19;0;Alemania;E;
20;0;Japón;E;
21;0;Bélgica;F;
22;0;Canadá;F;
23;0;Marruecos;F;
24;0;Croacia;F;
25;0;Brasil;G;
26;0;Serbia;G;
27;0;Suiza;G;
28;0;Camerún;G;
29;0;Portugal;H;
30;0;Ghana;H;
31;0;Uruguay;H;
32;0;Corea;H;
